name sigma sigma_e
NGC3507 60.8 14.8
UGC06132 162.8 55.0
NGC3521 122.0 4.8
NGC3516 179.1 9.5
NGC3593 75.5 9.1
NGC3596 37.0 16.6
NGC3600 52.2 25.0
NGC3607 226.3 3.7
NGC3608 197.6 3.3
NGC3613 214.2 3.6
NGC3623 152.2 3.8
NGC3627 121.3 4.7
NGC3628 84.4 28.9
PGC034754 373.3 8.3
NGC3640 180.1 4.2
PGC034786 140.5 12.6
PGC094177 297.3 10.9
NGC3642 84.9 10.5
NGC3660 94.6 9.7
NGC3665 224.0 5.0
NGC3675 110.9 5.2
NGC3674 213.3 6.2
NGC3684 25.3 25.9
NGC3683 79.0 25.9
b22 349.7 19.3
b22 368.8 17.0
b22 373.9 20.2
b22 373.3 18.8
NGC3705 103.3 8.7
NGC3718 176.9 6.2
IC0712 313.7 8.2
NGC3735 147.9 13.9
NGC3756 23.8 26.2
NGC3789 179.4 11.9
NGC3795 60.0 39.8
NGC3801 187.0 10.0
NGC3805 294.5 6.1
NGC3810 68.9 8.2
NGC3818 192.9 6.9
NGC3822 126.3 17.1
UGC06670 48.3 29.7
NGC3842 295.2 9.3
PGC036650 270.4 6.9
UGC06732 94.2 7.5
NGC3869 232.7 6.8
NGC3872 336.7 5.6
NGC3893 67.3 11.3
PGC036880 143.0 13.8
NGC3894 326.0 10.1
NGC3898 213.6 7.2
NGC3919 287.7 9.8
NGC3917 11.9 29.5
NGC3928 55.2 12.3
NGC3937 298.5 9.0
NGC3941 132.9 4.2
NGC3949 60.0 15.3
NGC3953 123.9 5.1
IC0745 25.1 25.7
NGC3972 57.0 35.7
NGC3976 172.0 4.0
NGC3982 62.9 9.0
NGC3990 122.9 12.7
NGC3990 117.5 5.2
NGC3990 118.4 5.3
NGC3992 137.6 5.0
NGC3994 148.0 9.2
NGC3998 322.6 3.4
NGC4003 157.5 11.9
NGC4026 186.7 3.5
NGC4030 121.1 12.7
NGC4041 93.1 8.9
NGC4051 83.0 13.4
ARK344 253.8 6.2
NGC4055 263.1 8.3
NGC4062 42.9 21.5
NGC4073 288.6 6.9
NGC4074 160.3 10.2
NGC4078 179.8 4.1
PGC038276 354.1 9.0
NGC4088 72.9 14.1
NGC4096 70.7 12.8
NGC4100 99.5 10.6
NGC4102 151.4 11.8
NGC4111 150.1 3.8
UGC07115 238.3 8.9
NGC4125 224.5 7.8
NGC4125 225.1 7.2
NGC4125 220.7 8.8
NGC4128 234.2 6.8
NGC4136 34.8 19.2
NGC4138 120.9 5.1
NGC4143 223.7 3.7
NGC4144 10.3 27.9
NGC4151 111.8 8.0
NGC4149 141.2 13.7
PGC038759 106.0 18.4
NGC4157 85.7 41.8
NGC4203 166.0 8.6
